Iter     Function value   Gradient norm 
     0     9.057322e+04     6.504311e+02
     1     8.963584e+04     3.124816e+02
     2     8.902065e+04     2.414807e+02
     3     8.856011e+04     2.808530e+02
     4     8.826218e+04     3.625246e+02
     5     8.794042e+04     3.857011e+02
     6     8.764550e+04     4.194098e+02
     7     8.738696e+04     4.195945e+02
     8     8.714647e+04     3.689949e+02
     9     8.691104e+04     3.145837e+02
    10     8.667861e+04     2.773235e+02
    11     8.645337e+04     2.518329e+02
    12     8.622855e+04     2.268447e+02
    13     8.600578e+04     1.994416e+02
    14     8.579451e+04     1.766927e+02
    15     8.559346e+04     1.540234e+02
    16     8.540077e+04     1.581575e+02
    17     8.521909e+04     1.554199e+02
    18     8.505497e+04     1.407644e+02
    19     8.490074e+04     1.356984e+02
    20     8.475435e+04     1.312631e+02
    21     8.461501e+04     1.208159e+02
    22     8.448395e+04     1.148816e+02
    23     8.436784e+04     9.833891e+01
    24     8.426143e+04     9.450285e+01
    25     8.415935e+04     1.017221e+02
    26     8.406251e+04     9.950985e+01
    27     8.397331e+04     1.112655e+02
    28     8.388989e+04     1.049735e+02
    29     8.381405e+04     9.066287e+01
    30     8.374161e+04     9.427597e+01
    31     8.367379e+04     1.070875e+02
    32     8.360720e+04     1.087412e+02
    33     8.354462e+04     1.083164e+02
    34     8.348537e+04     1.021973e+02
    35     8.342848e+04     8.916281e+01
    36     8.337556e+04     9.473328e+01
    37     8.332598e+04     9.516292e+01
    38     8.327812e+04     9.333612e+01
    39     8.323342e+04     7.807070e+01
    40     8.319051e+04     7.848355e+01
    41     8.314942e+04     8.482005e+01
    42     8.310784e+04     7.064239e+01
    43     8.306612e+04     7.546253e+01
    44     8.302518e+04     1.075052e+02
    45     8.298715e+04     1.056515e+02
    46     8.294974e+04     8.328933e+01
    47     8.291485e+04     6.961083e+01
    48     8.288110e+04     9.058766e+01
    49     8.284932e+04     5.443601e+01
    50     8.281886e+04     4.300379e+01
    51     8.278999e+04     5.607053e+01
    52     8.276332e+04     4.986802e+01
    53     8.273874e+04     1.746799e+02
    54     8.271349e+04     6.106741e+01
    55     8.269095e+04     4.472958e+01
    56     8.266772e+04     4.488336e+01
    57     8.264735e+04     4.330267e+01
    58     8.262744e+04     4.734107e+01
    59     8.260879e+04     4.943897e+01
    60     8.259169e+04     4.866290e+01
    61     8.257664e+04     5.481345e+01
    62     8.256023e+04     5.906940e+01
    63     8.254104e+04     4.214461e+01
    64     8.252466e+04     4.043432e+01
    65     8.251110e+04     3.942174e+01
    66     8.250052e+04     3.152414e+01
    67     8.249099e+04     4.709590e+01
    68     8.248334e+04     3.757777e+01
    69     8.247604e+04     5.321626e+01
    70     8.247022e+04     4.062962e+01
    71     8.246478e+04     1.639218e+01
    72     8.246294e+04     4.736200e+01
    73     8.246043e+04     3.398040e+01
    74     8.245703e+04     2.330337e+01
    75     8.245522e+04     4.262911e+01
    76     8.245275e+04     8.052014e+01
    77     8.245029e+04     1.142167e+02
    78     8.244834e+04     1.356149e+02
    79     8.244611e+04     1.457071e+02
    80     8.244408e+04     1.467468e+02
    81     8.244216e+04     1.424497e+02
    82     8.244006e+04     1.213561e+02
    83     8.243801e+04     8.426073e+01
    84     8.243677e+04     4.106104e+01
    85     8.243545e+04     1.836610e+01
    86     8.243439e+04     2.978438e+01
    87     8.243356e+04     4.904908e+01
    88     8.243318e+04     5.220308e+01
    89     8.243293e+04     5.577370e+01
    90     8.243209e+04     3.462897e+01
    91     8.243187e+04     2.068964e+01
    92     8.243135e+04     2.117312e+01
    93     8.243013e+04     2.188551e+01
    94     8.242863e+04     1.551296e+01
    95     8.242787e+04     2.086670e+01
    96     8.242687e+04     3.409693e+01
    97     8.242644e+04     3.448222e+01
    98     8.242544e+04     3.098200e+01
    99     8.242434e+04     2.966437e+01
   100     8.242300e+04     2.583268e+01
   101     8.242220e+04     1.616215e+01
   102     8.242179e+04     1.328538e+01
   103     8.242157e+04     1.513445e+01
   104     8.242124e+04     1.096568e+01
   105     8.242102e+04     5.783652e+00
   106     8.242057e+04     6.239128e+00
   107     8.242030e+04     9.946240e+00
   108     8.242009e+04     2.406571e+01
   109     8.241988e+04     2.021208e+01
   110     8.241972e+04     2.512283e+01
   111     8.241949e+04     1.676527e+01
   112     8.241928e+04     8.920643e+00
   113     8.241904e+04     1.979664e+01
   114     8.241871e+04     1.076236e+01
   115     8.241845e+04     1.987884e+01
   116     8.241820e+04     9.877688e+00
   117     8.241795e+04     1.776975e+01
   118     8.241766e+04     9.406573e+00
   119     8.241739e+04     1.206047e+01
   120     8.241715e+04     1.741202e+01
   121     8.241713e+04     1.716799e+01
   122     8.241709e+04     5.934182e+00
   123     8.241708e+04     4.959201e+00
   124     8.241708e+04     4.928270e+00
Iter     Function value   Gradient norm 
