Iter     Function value   Gradient norm 
     0     1.545505e+04     1.178306e+03
     1     1.544441e+04     3.664692e+03
     2     1.513665e+04     6.198785e+03
     3     1.469343e+04     1.240539e+03
     4     1.441750e+04     3.036329e+02
     5     1.437072e+04     1.168277e+02
     6     1.436193e+04     4.036169e+01
     7     1.435237e+04     8.476238e+01
     8     1.434070e+04     6.986004e+01
     9     1.433915e+04     1.264458e+02
    10     1.433329e+04     1.060144e+02
    11     1.432545e+04     1.638379e+02
    12     1.431674e+04     1.595156e+02
    13     1.430941e+04     3.327482e+02
    14     1.430860e+04     3.516939e+02
    15     1.429958e+04     1.603649e+02
    16     1.429884e+04     1.923305e+02
    17     1.428917e+04     6.535533e+01
    18     1.428681e+04     2.275267e+02
    19     1.427893e+04     2.266129e+02
    20     1.427093e+04     1.951889e+02
    21     1.426435e+04     1.423497e+02
    22     1.425478e+04     9.917567e+01
    23     1.425440e+04     9.333915e+01
    24     1.425360e+04     1.158082e+02
    25     1.425195e+04     4.867471e+01
    26     1.424901e+04     4.934072e+01
    27     1.424707e+04     1.755695e+02
    28     1.424295e+04     5.385252e+01
    29     1.424023e+04     8.248044e+01
    30     1.423884e+04     1.505962e+02
    31     1.423757e+04     3.966084e+01
    32     1.423662e+04     8.686432e+01
    33     1.423564e+04     8.749643e+01
    34     1.423496e+04     1.656786e+01
    35     1.423475e+04     6.150592e+01
    36     1.423461e+04     1.203823e+01
    37     1.423454e+04     8.579834e+00
    38     1.423451e+04     8.134884e+00
    39     1.423449e+04     1.034355e+01
    40     1.423440e+04     1.134982e+01
    41     1.423424e+04     1.023177e+01
    42     1.423409e+04     1.152322e+01
    43     1.423395e+04     2.896406e+01
    44     1.423382e+04     5.026581e+00
    45     1.423373e+04     8.503906e+00
    46     1.423359e+04     6.587796e+00
    47     1.423353e+04     4.475825e+00
    48     1.423351e+04     8.681710e+00
    49     1.423349e+04     6.550720e+00
    50     1.423348e+04     1.999626e+00
    51     1.423348e+04     1.378903e+00
